date,avg_tweet_value
11/20/2019,None
11/21/2019,0.652
11/22/2019,-4.358
11/25/2019,None
11/26/2019,None
11/27/2019,None
11/29/2019,None
12/02/2019,None
12/03/2019,None
12/04/2019,None
12/05/2019,None
12/06/2019,None
12/09/2019,3.64
12/10/2019,None
12/11/2019,3.86
12/12/2019,1.745
12/13/2019,-1.29
12/16/2019,None
12/17/2019,-1.255
12/18/2019,14.16
12/19/2019,5.445
12/20/2019,1.55
12/23/2019,None
12/24/2019,None
12/26/2019,None
12/27/2019,None
12/30/2019,-7.84
12/31/2019,3.63
01/02/2020,None
01/03/2020,None
01/06/2020,None
01/07/2020,5.84
01/08/2020,23.08
01/09/2020,-10.8
01/10/2020,-1.063
01/13/2020,None
01/14/2020,6.53
01/15/2020,-19.42
01/16/2020,-1.67
01/17/2020,-0.598
01/21/2020,None
01/22/2020,11.18
01/23/2020,None
01/24/2020,-7.38
01/27/2020,-2.267
01/28/2020,2.96
01/29/2020,2.818
01/30/2020,19.94
01/31/2020,1.952
02/03/2020,64.715
02/04/2020,53.53
02/05/2020,-30.472
02/06/2020,1.782
02/07/2020,-0.89
02/10/2020,7.737
02/11/2020,None
02/12/2020,-2.363
02/13/2020,36.71
02/14/2020,-3.97
02/18/2020,None
02/19/2020,59.02
02/20/2020,-6.003
02/21/2020,0.795
02/24/2020,None
02/25/2020,-6.776
02/26/2020,None
02/27/2020,None
02/28/2020,None
03/02/2020,37.815
03/03/2020,0.315
03/04/2020,1.995
03/05/2020,-24.96
03/06/2020,-21.06
03/09/2020,None
03/10/2020,12.443
03/11/2020,-1.85
03/12/2020,None
03/13/2020,None
03/16/2020,-33.85
03/17/2020,None
03/18/2020,-11.497
03/19/2020,66.42
03/20/2020,None
03/23/2020,None
03/24/2020,70.71
03/25/2020,None
03/26/2020,-1.584
03/27/2020,-13.8
03/30/2020,-6.115
03/31/2020,21.87
04/01/2020,None
04/02/2020,None
04/03/2020,25.54
04/06/2020,18.115
04/07/2020,9.737
04/08/2020,1.695
04/09/2020,24.16
04/13/2020,77.95
04/14/2020,58.94
